Variable,Description
acedeprs,"live with anyone depressed, mentally ill, or suicidal?"
acedivrc,were your parents divorced/seperated?
acedrink,live with a problem drinker/alcoholic?
acedrugs,live with anyone who used illegal drugs or abused prescriptions?
acehurt1,how often did a parent physically hurt you in any way?
acehvsex,how often did anyone ever force you to have sex?
aceprisn,live with anyone who served time in prison or jail?
acepunch,how often did your parents beat each other up?
aceswear,how often did a parent swear at you?
acetouch,how often did anyone ever touch you sexually?
acetthem,how often did anyone make you touch them sexually?
actin12_,estimated activity intensity for first activity
actin22_,estimated activity intensity for second activity
addepev3,(ever told) you had a depressive disorder
alcday5,days in past 30 had alcoholic beverage
arthdis2,does arthritis affect whether you work
arthedu,ever taken class in managing arthritis or joint symptoms
arthexer,dr. suggest use of physical activity or exercise for arthritis or joint symptoms
asbiadvc,offered advice about what level of drinking is harmful or risky?
asbialch,asked during checkup if you drink alchohol
asbibing,asked whether you drank [5 for men /4 for women] or more alcoholic drinks on an occasion?
asbidrnk,asked in person or by form how much you drink?
asbirduc,were you advised to reduce or quit your drinking?
aspirin,how often do you take an aspirin
asthma3,ever told had asthma
asthnow,still have asthma
avedrnk3,avg alcoholic drinks per day in past 30
birthsex,are you male or female?
bldstool,ever had blood stool test using home kit
bldsugar,how often check blood for glucose
blind,blind or difficulty seeing
bphigh4,ever told blood pressure high
bpmeds,currently taking blood pressure medication
cadult1,are you 18 years of age or older?
caregiv1,provided regular care for family or friend
casthdx2,hlth pro ever said child has asthma
casthno2,child still have asthma?
cclghous,do you live in college housing?
cdassist,need assistance with day-to_day activities due to confusion or memory loss
cddiscus,have you discussed your confusion or memory loss with a health care professional?
cdhelp,when you need help with day-to-day activities are you able to get it
cdhouse,given up day-to-day chores due to confusion or memory loss
cdsocial,does confusion or memory loss interfere with work or social activities
cellfon5,is this a cell phone?
cellsex,are you male or female?
celphone,cellular telephone
chccopd2,"(ever told) you had (copd) chronic obstructive pulmonary disease, emphysema or chronic bronchitis?"
chckdny2,ever told you have kidney disease?
chcocncr,(ever told) you had any other types of cancer?
chcscncr,(ever told) you had skin cancer?
checkup1,length of time since last routine checkup
children,number of children in household
chkhemo3,times checked for glycosylated hemoglobin
